,News,Category
570,Why you can't miss BBC’s Blue Planet II with Sir David Attenborough for the world.The oceanic life is under serious threat with the future looking more ominous than ever.,Arts
2112,Virat Kohli’s latest trick: Carry Sri Lanka along to South Africa.The decision was taken after back-to-back double centuries against listless islanders.,humour
1308,"Now, end of Rs 2000 note looks increasingly inevitable.RTI response gives boost to speculation that the life of the highest currency denomination may not be that long.",business
3563,"How Jio has changed the market for the better.For consumers, it’s a win-win situation.",tech
19018,BJP superimposed its Hindutva fantasy on LS result and paid for it.Can it return to the centre-right again?,politics
1167,"How elections will decide the fate of GST.As polls approach, most of the states have started flouting Goods and Services Tax norms.",business
3886,"India vs New Zealand has India as the favourites. But beware underestimating the opponent.India will clash with New Zealand in the first World Cup semi-final today. Although India is the more consistent team, the Kiwis still have enough power to create a huge upset.",sports
4103,"World Cup final: In Indian women's cricket team's success is a message for Kohli and boys.Unlike the hype over coach Ravi Shastri and assistant coaches, talk of women’s team revolves only around performers.",sports
645,"A brief history of Hazrat Ali - the first male to embrace Islam.His instructions on keeping the army happy, selecting a chief justice are kept in the United Nations as an example.",Arts
18625,Uma Bharti's yatra and a future as UP CM.The 55-year-old sadhvi is eyeing the top post in UP as the BJP doesn't have any prominent OBC face in the state.,politics
19047,Why CBI chief's defence lacks punch or purpose.It's important to ask why these characters found themselves in the confines of Ranjit Sinha's home as opposed to his office.,politics
4791,World Cup 2015: Team India have peaked perfectly.Suresh Raina's century against Zimbabwe couldn't have come at a better time and it is good that MS Dhoni spent some time in the middle.,sports
2832,"From Jayalalithaa with love, Panneerselvam best served cold.Our cartoonist sketches the landscape of Indian politics with his wicked pen.",humour
1861,"5 things Rahul Gandhi can do now.If not Rahul, then who? Rahul Gandhi must think of his alternatives as he must be embarking on vacation now!",humour
4527,"Clean DDCA up, but let the #INDvsSA Test take place.It is laughable to think that stopping a match will curb corruption.",sports
317,"From Andhadhun to Zero, Say Badhaai Ho to an inventive Bollywood in 2018!.Experiment, reinvent, yet coexist with the larger-than-life star power — that's what 2018 taught us.",Arts
393,"Understanding gender disparity in Bollywood's great 'comeback'.As opposed to their male counterparts, female stars are categorised to be on a 'comeback trail' after staying away from Bollywood for even 2-3 years.",Arts
1388,Demonetisation was a mistake. This is what Modi government is hiding from you.There is no official assessment of the current value of currency.,business
18925,Love Jihad who? Love Jihad what?.Political parties need to be accountable for the controversies they rake.,politics
1715,India's Chinese takeaway: Turning adversity into opportunity.The RBI must loosen monetary policy to spur both consumer demand and corporate investment.,business
2628,"We, the idiots of Earth.Pluto flyby was playing out three billion miles away and what was happening in the world of Indian politics.",humour
3453,"Why iPhone 8 is apparently so bad that it's perfect for India.The new Apple iPhone is rumoured to be unfit for high-speed internet, which we don't have anyway.",tech
4412,"Chyna's death will leave WWE fans heartbroken for good.She was there for the real thing, to fight and beat the men.",sports
18991,Importance of Margdarshak Mandal.Amit Shah's idea will save the BJP leaders from behaving like monkeys.,politics
3934,"Virat Kohli's antics are downright appalling. Here's why they make me cringe.With his constant over-aggression, the Indian skipper has earned more brickbats than bouquets. He's also not helping his side. Can we just get on with the game please?",sports
2660,"Why shooting porn in space will be out of this world.One small push for man, but one giant leap for humankind.",humour
2201,Why it takes average-looking guys 2 years and an MBA degree to get 200 'likes' on Facebook.Life lessons I learnt in B-school.,humour
2850,Anna Hazare's brain works faster than a computer: Let the Kejriwal-Bedi broom fight begin.Our cartoonist sketches the landscape of Indian politics with his wicked pen.,humour
4292,"What India must do to become an Olympic giant.In the euphoria of PV Sindhu's 'victory', the pitiful overall results were forgotten.",sports
4511,"After cricket defeats, South Africa is losing to porn.The Cricket South Africa Facebook page has been hacked and how.",sports
325,"Remembering George Michael, the timeless, ageless 'prince of Pop'.Michael breathed his last in the early hours of Christmas morning of 2016.",Arts
2171,"Peacocks pay a teary-eyed farewell to Rajasthan High Court judge's sexual wisdom.A pea-brained, cock-eyed, 'legally' possible reality of India.",humour
2764,Why did Jerry Seinfeld's Mumbai show get cancelled? Twitter knows the answer to that joke.The organisers cited traffic and parking issues to be the reason. Social media thinks otherwise.,humour
18595,Making sense of breaking stories.Short analysis of the day's leading developing headlines.,politics
3304,Xiaomi offers smartphone exchange programme: Should we count on it?.Let's look at the conditions that apply.,tech
4869,Indian sports: 2015 is going to be an exciting year.I hope this year we hear less of politics in sports.,sports
4764,Shahid Afridi's response on Pakistan-India cricket rivalry will have you in tears.Pakistani all-rounder gave a fitting reply to pesky media people in 2011. Said we have too much in common.,sports
4257,"Why Sachin Tendulkar's final Test will always be unforgettable for me.Three years after the Master Blaster bowed out of international cricket, Boria Majumdar recollects his meeting with the legend.",sports
1059,"Has China hit the spending curb?.Though today it looks as if Xi's 'pockets' have no bottom, the question remains, can it last forever?",business
3021,"Asus ROG Phone: Five features that make it a true gaming phone.At Rs 69,999, the ROG Phone does not come cheap. But it justifies the price with some really cool features.",tech
3906,"India vs Pakistan Meme Match: As India-Pak battle on the pitch, social media sees a furious clash. Guess who's winning?.Pakistan’s meme game is just as bad as their fielding.",sports
1965,"5 reasons why the Bengali has left his monkey cap behind.It messes up our Boroline, to begin with.",humour
3196,Twitter's suicide prevention policy is flawed and dangerous.It is high time the platform took more responsibility.,tech
18434,"""Going green"" isn't as easy as it seems.Be it reusing, recycling or buying organic food, an eco-friendly lifestyle requires conscientious effort.",politics
1589,"With aggressive inflation targeting, Modi has snubbed Sangh Parivar.The prime minister is well aware of the political risks of price rise.",business
18428,"Mufti busy watching soaps as PDP holds key to future in J&K.He has not even thanked people for the mandate he has been given, perhaps because he was expecting a majority.",politics
